serie,repeticao,n_amostra,w_statistic,p_value,normal_p_maior_que_alpha
original,1,2000,0.0374633763858202,5.060316365230659e-72,False
original,2,2000,0.036849048946052676,4.914902442384192e-72,False
original,3,2000,0.020573210678457965,2.283134645730413e-72,False
original,4,2000,0.03616349371148453,4.757646223895135e-72,False
original,5,2000,0.055001873950014546,1.171247670645389e-71,False
original,6,2000,0.13668462464933673,7.024992965884908e-70,False
original,7,2000,0.04337239953499139,6.703978677080312e-72,False
original,8,2000,0.023162085477218874,2.577372706303139e-72,False
original,9,2000,0.05067577376308463,9.51066669226851e-72,False
original,10,2000,0.030697115344547332,3.673582832884211e-72,False
iqr_winsorizado,1,2000,0.712684206637419,4.473699384931675e-50,False
iqr_winsorizado,2,2000,0.7111589108712222,3.6599313124415617e-50,False
iqr_winsorizado,3,2000,0.7178346100763723,8.87069875055385e-50,False
iqr_winsorizado,4,2000,0.7173562547953598,8.320653901510576e-50,False
iqr_winsorizado,5,2000,0.7139347515385388,5.277662008195655e-50,False
iqr_winsorizado,6,2000,0.7156339642743197,6.612809279061647e-50,False
iqr_winsorizado,7,2000,0.6969355411882217,5.865234825227187e-51,False
iqr_winsorizado,8,2000,0.7153506378783691,6.368264388380888e-50,False
iqr_winsorizado,9,2000,0.7185951257084567,9.822838188030627e-50,False
iqr_winsorizado,10,2000,0.7104590572294553,3.3388239632273577e-50,False
log1p,1,2000,0.9943827333184903,7.033062849575551e-07,False
log1p,2,2000,0.9942186182944095,4.857638074269029e-07,False
log1p,3,2000,0.9908938579809203,7.109987045246943e-10,False
log1p,4,2000,0.9872536887238572,2.450401677220059e-12,False
log1p,5,2000,0.9899781365341198,1.5201154056048268e-10,False
log1p,6,2000,0.9944321640496803,7.870861729025828e-07,False
log1p,7,2000,0.9946848385176287,1.410490891402483e-06,False
log1p,8,2000,0.9929571126987449,3.343262657837253e-08,False
log1p,9,2000,0.9914627224451499,1.944121796711018e-09,False
log1p,10,2000,0.9837317282512462,2.5558265394669247e-14,False
sqrt,1,2000,0.3537229358803493,2.4395678766196935e-64,False
sqrt,2,2000,0.2912445113908002,4.43563540346542e-66,False
sqrt,3,2000,0.32417824859396616,3.525912950826796e-65,False
sqrt,4,2000,0.44272184921737434,1.354122651981565e-61,False
sqrt,5,2000,0.2753443958583611,1.6787809841430847e-66,False
sqrt,6,2000,0.3897984326556153,2.8741883493695907e-63,False
sqrt,7,2000,0.4717720100237207,1.282808960896071e-60,False
sqrt,8,2000,0.505611123711226,2.016745990412509e-59,False
sqrt,9,2000,0.4937166821876178,7.523352244154969e-60,False
sqrt,10,2000,0.246375551596397,2.993024939279377e-67,False
boxcox,1,2000,0.9579322678958049,1.3155476869238629e-23,False
boxcox,2,2000,0.9656796466236276,2.089642793753905e-21,False
boxcox,3,2000,0.9520881539295908,4.48851756639519e-25,False
boxcox,4,2000,0.9639519395039411,6.302772724755595e-22,False
boxcox,5,2000,0.9368934134567956,2.454558787255157e-28,False
boxcox,6,2000,0.9510704114891138,2.574141188017059e-25,False
boxcox,7,2000,0.9569463551414927,7.266073023232038e-24,False
boxcox,8,2000,0.963257431563092,3.939774847095307e-22,False
boxcox,9,2000,0.9636241683620359,5.045065987020897e-22,False
boxcox,10,2000,0.9527450191717504,6.456855336378416e-25,False
iqr_log1p,1,2000,0.9478099776598886,4.5906413552713906e-26,False
iqr_log1p,2,2000,0.9462151056062869,2.0347881803512612e-26,False
iqr_log1p,3,2000,0.9494201083480105,1.0642747378761394e-25,False
iqr_log1p,4,2000,0.9525796465364218,5.889899553770845e-25,False
iqr_log1p,5,2000,0.95301383169676,7.501112777182504e-25,False
iqr_log1p,6,2000,0.9519992731907378,4.274260791459508e-25,False
iqr_log1p,7,2000,0.9540367964576197,1.3350092462161888e-24,False
iqr_log1p,8,2000,0.9469636433772298,2.974082025493654e-26,False
iqr_log1p,9,2000,0.9499211094546611,1.3883013305277572e-25,False
iqr_log1p,10,2000,0.9442347538838325,7.598479616409515e-27,False
iqr_sqrt,1,2000,0.8522786763369654,9.600481808931617e-40,False
iqr_sqrt,2,2000,0.8566220898425713,2.6108317801128686e-39,False
iqr_sqrt,3,2000,0.850679089115593,6.681614834892503e-40,False
iqr_sqrt,4,2000,0.8445919058974067,1.7300645823451398e-40,False
iqr_sqrt,5,2000,0.8468303479307351,2.829133005212826e-40,False
iqr_sqrt,6,2000,0.854180868511534,1.4834995520496012e-39,False
iqr_sqrt,7,2000,0.855837602218801,2.175326021414771e-39,False
iqr_sqrt,8,2000,0.8470459736803737,2.967300408286057e-40,False
iqr_sqrt,9,2000,0.8537881961059575,1.3555341839281967e-39,False
iqr_sqrt,10,2000,0.852010779837014,9.033045013694341e-40,False
iqr_boxcox,1,2000,0.9482559263208993,5.782915039447126e-26,False
iqr_boxcox,2,2000,0.955011782052688,2.3336980223365552e-24,False
iqr_boxcox,3,2000,0.9516957219366606,3.618578970972856e-25,False
iqr_boxcox,4,2000,0.9474529783851519,3.820057635019872e-26,False
iqr_boxcox,5,2000,0.9512232071823536,2.7966655219746584e-25,False
iqr_boxcox,6,2000,0.9493958942751576,1.0507439854498975e-25,False
iqr_boxcox,7,2000,0.9512697979296181,2.8683834916923294e-25,False
iqr_boxcox,8,2000,0.9519088106872815,4.0669761725341214e-25,False
iqr_boxcox,9,2000,0.950546496562277,1.940033616715792e-25,False
iqr_boxcox,10,2000,0.947530947709889,3.9761594969125083e-26,False
