cenario,include_leakage,target_transform,model_sample,correlation_threshold,sample_size,train_rows,test_rows,n_features,n_features_leakage,ols_train_r2_model_scale,ols_train_adj_r2_model_scale,condition_number,treino_mae,treino_rmse,treino_mape_pct,treino_r2,teste_mae,teste_rmse,teste_mape_pct,teste_r2
completa_raw_com_vazamento,True,raw,all,0.3,110675,88540,22135,20,16,0.9356867239276332,0.9356721929735844,2974967.693383304,19559.155113494366,137355.52344050782,6890.053875306772,0.959628828814601,21611.355935196534,167076.90708503162,7396.3425245470535,0.8867818116940768
minima_raw_com_vazamento,True,raw,recommended,0.3,383,306,77,20,16,0.99555274690973,0.9952406589735706,1643647.502994885,4128.933335275455,9493.467140080596,1520.3312066483436,0.9955652896488424,5232.17717004353,13329.456121973506,906.7351937332983,0.5955472307851183
completa_raw_sem_vazamento_corr_010,False,raw,all,0.1,110675,88540,22135,10,0,0.583588428582334,0.5835413918405412,1.8843837145444264e+21,53517.614695025,440158.8152847332,47686.92843238507,0.5854299725074196,53040.307100951206,365575.3059021861,6838.96206004794,0.45795286764411924
completa_raw_sem_vazamento,False,raw,all,0.3,110675,88540,22135,4,0,0.5785541623186436,0.5785351214494876,1773739.6225925854,48762.46875724798,443250.84053512925,9664.70353414297,0.5795849758677563,48074.00318747541,367304.7017938875,6437.126792794914,0.4528123051333276
minima_raw_sem_vazamento,False,raw,recommended,0.3,383,306,77,4,0,0.00032898355871635587,-0.012955681111599837,906549.7880934943,26388.283517994965,142534.75451543546,20804.28240822896,0.00032898355871635587,16876.243694455694,23241.032104518144,7748.824693872421,-0.22957146482225999
completa_log_sem_vazamento,False,log1p,all,0.3,110675,88540,22135,4,0,0.03471455310809679,0.03467094163480855,1773739.6225925854,2.7063782875754513e+22,8.053010389758685e+24,1.8035053755810996e+16,-1.3877000723481108e+38,19311415.5141752,2867220961.3069363,1802.9704084252367,-33343075.818518743
minima_log_com_vazamento,True,log1p,recommended,0.3,383,306,77,20,16,0.36680833506014743,0.3223738322573507,1643647.502994885,51559.55546456282,666558.7436074264,705.2410571622839,-20.86212715384076,16639951.596492771,134891888.11867937,44446.544675427154,-41420430.78302462
completa_log_sem_vazamento_corr_010,False,log1p,all,0.1,110675,88540,22135,10,0,0.07726712311392792,0.07716289366630213,1.8843837145444264e+21,8.642050947547629e+23,2.5715003105412964e+26,5.758982552993145e+17,-1.414986362932414e+41,31850976.196290575,4692783500.641502,1679.7509202592714,-89319108.47458126
completa_log_com_vazamento,True,log1p,all,0.3,110675,88540,22135,20,16,0.0943052484915976,0.09410061564407135,2974967.693383304,1.0559659219475848e+16,3.133503605120095e+18,26858800949.145573,-2.1010650060994197e+25,6.285486534804036e+22,9.351443665074557e+24,1.1580886014867825e+18,-3.5468324313327834e+38
