variavel,coeficiente,erro_padrao,t,p_value,intervalo_95_inf,intervalo_95_sup,feature,correlacao_raw,correlacao_log,possivel_vazamento_target
constante,2033.6454372643293,962.1081010821607,2.113739022649247,0.03540630747110951,139.9063153476029,3927.384559181056,,,,
item__valorTotalReferencia,0.2297807439625239,0.0035252565199836504,65.18128330802706,0.0,0.22284190187276692,0.23671958605228088,item__valorTotalReferencia,0.8230256924246367,0.16334492592503475,True
agg__itensVencedores__valorTotalReferencia__mean,0.33375768272854506,0.03595800623270732,9.281873988468243,0.0,0.262980726300872,0.4045346391562181,agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277894,0.15197736208823334,True
agg__itensVencedores__valorTotalReferencia__min,0.339391023287986,0.05584214695789411,6.077685794278153,3.900305634019219e-09,0.22947566322913077,0.4493063833468412,agg__itensVencedores__valorTotalReferencia__min,0.7614915774326271,0.12163678957940768,True
agg__contratos__valor__min,-0.1473512837383899,0.1734062840008413,-0.8497459281099353,0.3961796087684697,-0.4886707920444036,0.1939682245676238,agg__contratos__valor__min,0.750431289419867,0.13970947866287872,False
agg__contratos__valor__mean,0.35196426399968395,0.27686823449377035,1.2712338222664663,0.20468200519491786,-0.19300174001496484,0.8969302680143327,agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,False
agg__contratos__valor__max,-0.2662487004905909,0.09976512954863265,-2.6687551221070915,0.008049581304037545,-0.46261865997521867,-0.06987874100596317,agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,False
agg__itensVencedores__valorTotalReferencia__max,-0.005039711720976268,0.0029005809174012646,-1.737483581561837,0.08338211303979914,-0.01074899070260996,0.0006695672606574238,agg__itensVencedores__valorTotalReferencia__max,0.6874366392797127,0.21808314926798322,True
agg__contratos__valor__sum,0.059644114575827675,0.01762458901453545,3.3841421508687466,0.0008141543518764838,0.024953237649431942,0.09433499150222341,agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,False
agg__participantes__itensProposta__valorTotal__max,-0.005312378847360335,0.004423995391000722,-1.2008102129054563,0.23082188795251857,-0.014020228971160415,0.003395471276439744,agg__participantes__itensProposta__valorTotal__max,0.549959817604814,0.12011535675570473,True
item__valorUnitarioVencedor,-1.2932211477243394,3.0906220185062305,-0.4184339398285214,0.6759450075219471,-7.376562324167336,4.790120028718658,item__valorUnitarioVencedor,0.5378349049636091,0.11906127772277328,True
agg__participantes__itensProposta__valorTotal__mean,0.029204607314042053,0.022937421255086517,1.27322975801239,0.20397405709880978,-0.015943637397528233,0.07435285202561234,agg__participantes__itensProposta__valorTotal__mean,0.5344343261587876,0.08524569350470204,True
agg__itensVencedores__valorUnitarioVencedor__mean,2.9909341229632234,1.6655952963617418,1.7957147990850464,0.07359907288828271,-0.28749474636333927,6.2693629922897856,agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.1181372933769408,True
agg__itensVencedores__valorUnitarioVencedor__min,-1.4665429546779827,2.7552809227861794,-0.5322662174116872,0.5949563243038973,-6.8898246726909,3.9567387633349353,agg__itensVencedores__valorUnitarioVencedor__min,0.5308378574157161,0.11358991286100724,True
item__valorUnitarioReferencia,0.26643084413288154,1.901707984378868,0.14010081796017837,0.8886792947564479,-3.4767439658795776,4.009605654145341,item__valorUnitarioReferencia,0.5141423485206679,0.1275216530086697,True
agg__itensVencedores__valorUnitarioReferencia__mean,0.0026058154256617698,1.0213788446231566,0.0025512721742569472,0.9979661663814334,-2.0077972507011053,2.0130088815524285,agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.12661938631049513,True
agg__itensVencedores__valorUnitarioVencedor__max,0.035954871940066836,0.276444007688431,0.13006204128175616,0.8966090912060272,-0.508176116864822,0.5800858607449557,agg__itensVencedores__valorUnitarioVencedor__max,0.5126231142616221,0.11702283149970417,True
agg__itensVencedores__valorUnitarioReferencia__min,-0.4016418738909841,1.8350127784923234,-0.2188768811849799,0.82690261552659,-4.013539002643326,3.2102552548613583,agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.12416092586204872,True
agg__itensVencedores__valorUnitarioReferencia__max,-0.06425688657553823,0.28820642833644533,-0.22295438358691383,0.82373071781016,-0.6315401138082413,0.5030263406571649,agg__itensVencedores__valorUnitarioReferencia__max,0.5097898836779511,0.12662104450160722,True
agg__participantes__itensProposta__valorUnitario__mean,-0.2565645458406039,0.12188332996160307,-2.1050011180481323,0.03616643691721122,-0.49647025913639287,-0.0166588325448149,agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355448,0.11416125038139953,True
agg__participantes__itensProposta__valorUnitario__max,0.022158791272366165,0.09348980010927062,0.23701827628754185,0.8128128886971626,-0.1618592954353159,0.20617687798004825,agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.11263737487577151,True
